id;name;description;difficulty
213;Vign�re cipher encryption or decryption;Implement Vigen�re cipher;Intermediate
214;"Virtual Machine with a Script that Writes ""Hello, World""";Simple VM that prints hello world;Advanced
215;WMS viewer that isn't web-based;Desktop WMS map viewer;Intermediate
216;Web Page Crawler;Crawl links on websites;Intermediate
217;Web crawler;Crawl web links;Intermediate
218;Window Manager;Custom window manager for an OS GUI;Intermediate
219;Wolfenstein Clone;Clone of Wolfenstein 3D game;Intermediate
220;Write an Interpreted LIST-like Programming Language;Custom programming language interpreter;Intermediate
221;Yahtzee;Yahtzee dice game;Intermediate
222;YouTube to MP3;Download YouTube videos as MP3s;Intermediate
